UDI, TemperaturaDoAr[°C], TemperaturaDoProcesso[°C], VelocidadeDeRotacao[rpm], Torque[Nm], DesgasteDaFerramenta[min], Saida
1973,24,75,1612, 30.7,134,0
1974,24,75,1747, 25.3,136,0
1975,24,85,1450, 48.7,138,0
1976,24,85,1422, 45.6,140,0
1977,24,95,1419, 47.4,142,0
1978,24,95,1633, 30.7,145,0
1979,24,85,1442, 43.6,148,0
1980,24,85,1420, 45.8,150,0
1981,24,85,1301, 58.5,155,0
1982,24,85,1385,45,158,0
1983,24,85,1487, 41.3,160,0
1984,24,85,1459, 44.4,163,0
1985,24,85,1387, 45.5,166,0
1986,24,95,1537, 40.8,169,0
1987,24,95,1498, 42.9,171,0
1988,25,5,1599, 31.2,173,0
1989,25,15,1420, 39.2,176,0
1990,25,5,1785, 23.4,181,0
1991,25,5,1423, 48.1,183,0
1992,25,5,1583, 36.6,185,0
1993,25,5,1375, 46.6,188,0
1994,25,15,1463, 42.5,190,0
1995,25,5,1403, 45.1,193,0
1996,25,15,1451, 47.1,196,0
1997,25,25,1416, 38.2,198,1
1998,25,15,1672, 41.3,0,0
1999,25,15,1637, 30.8,2,0
2000,25,25,1540, 37.8,7,0
2001,25,25,1279, 53.1,9,0
2002,25,25,1604, 34.9,11,0
2003,25,35,1654, 27.1,13,0
2004,25,35,1564, 37.5,15,0
2005,25,35,1451, 47.5,18,0
2006,25,35,1504,38,20,0
2007,25,35,1381, 50.5,22,0
2008,25,45,1562, 34.4,25,0
2009,25,35,1811, 24.7,27,0
2010,25,45,1717, 28.7,29,0
2011,25,45,1278, 60.5,32,0
2012,25,55,1616, 30.2,34,0
2013,25,45,1397, 46.4,36,0
2014,25,45,1485, 42.9,38,0
2015,25,45,1310, 59.7,40,0
2016,25,35,1301, 66.3,42,1
2017,25,35,1458,44,44,0
2018,25,55,1483, 42.5,46,0
2019,25,55,1375, 46.4,48,0
2020,25,55,1660,27,50,0
2021,25,55,1560, 33.3,53,0
2022,25,55,1480, 42.2,58,0
2023,25,55,1373, 46.9,60,0
2024,25,55,1444, 54.2,62,0
2025,25,55,1722, 24.7,64,0
2026,25,55,1469, 39.9,67,0
2027,25,55,1360, 52.9,69,0
2028,25,55,1750, 25.8,72,0
2029,25,55,1349, 46.6,74,0
2030,25,55,1668, 35.2,77,0
2031,25,75,1400, 49.5,79,0
2032,25,65,1331, 62.8,81,0
2033,25,65,1444, 42.2,83,0
2034,25,65,1359, 47.6,85,0
2035,25,65,1425, 47.4,90,0
2036,25,75,1469, 34.2,93,0
2037,25,85,1892, 22.8,96,0
2038,25,85,1940, 19.9,98,0
2039,25,85,1405, 55.2,103,0
2040,25,85,1449, 39.6,105,0
2041,25,95,1686, 29.6,108,0
2042,25,95,1680, 27.2,110,0
2043,25,95,1397, 52.4,112,0
2044,26,5,1597, 30.3,115,0
2045,26,15,1470, 41.1,118,0
2046,26,15,1703, 31.3,120,0
2047,26,15,1388, 45.5,123,0
2048,26,15,1775, 24.2,125,0
2049,26,15,1465, 41.5,127,0
2050,26,15,1586, 37.9,129,0
2051,26,35,1675, 29.2,132,0
2052,26,25,1470, 44.4,135,0
2053,26,35,1477, 40.4,138,0
2054,26,35,1382,61,140,0
2055,26,45,1605, 29.8,142,0
2056,26,45,1643, 32.9,145,0
2057,26,35,1333, 54.1,147,0
2058,26,35,1520, 42.3,149,0
2059,26,35,1902,24,151,0
2060,26,35,1386, 44.4,154,0
2061,26,45,1803, 27.7,159,0
2062,26,55,1359, 50.7,161,0
2063,26,55,1477, 42.7,163,0
2064,26,55,1321, 53.4,166,0
2065,26,45,1453, 41.4,168,0
2066,26,55,1419, 45.1,170,0
2067,26,55,1512, 36.2,172,0
2068,26,55,1553, 36.8,174,0
2069,26,55,1534, 39.1,176,0
2070,26,55,1553,41,179,0
2071,26,55,1352, 49.7,184,0
2072,26,55,1313,60,186,0
2073,26,45,1570, 35.5,189,0
2074,26,45,1677, 31.1,191,0
2075,26,35,1602, 31.5,193,0
2076,26,35,1390, 58.8,195,1
2077,26,25,1544,36,197,0
2078,26,25,1701, 31.2,199,0
2079,26,25,1692, 28.4,201,0
2080,26,15,1523, 37.9,204,0
2081,26,15,2280, 15.4,207,0
2082,26,25,1485, 47.1,209,0
2083,26,25,1513, 36.1,212,0
2084,26,25,1743, 28.2,0,0
2085,26,35,1442, 46.2,5,0
2086,26,35,1462, 46.7,7,0
2087,26,25,1439, 49.7,9,0
2088,26,35,1577, 36.6,14,0
2089,26,45,1331, 46.4,16,0
2090,26,35,1941, 22.5,18,0
2091,26,35,1393, 47.3,20,0
2092,26,25,1433, 42.1,22,0
2093,26,25,1444, 48.2,24,0
2094,26,25,1564,39,26,0
2095,26,25,1377, 43.6,28,0
2096,26,25,1525, 41.5,30,0
2097,26,35,1387, 56.2,32,0
2098,26,25,1326, 47.5,35,0
2099,26,25,1401,59,38,0
2100,26,25,1596, 31.8,40,0
2101,26,15,1471,46,42,0
2102,26,15,1528, 37.8,45,0
2103,26,15,1325,62,47,0
2104,26,15,1376, 46.7,49,0
2105,26,15,1600, 35.3,52,0
2106,26,15,1495,44,55,0
2107,26,25,1645, 28.6,57,0
2108,26,25,1417, 47.3,59,0
2109,26,25,1415, 51.7,62,0
2110,26,15,1496, 43.4,67,0
2111,26,15,1508,35,70,0
2112,26,25,1436, 47.9,75,0
2113,26,35,1852, 22.6,77,0
2114,26,35,1863, 22.5,79,0
2115,26,25,1373, 44.1,81,0
2116,26,25,1404, 47.3,86,0
2117,26,25,1381, 44.9,88,0
2118,26,25,1762, 29.3,91,0
2119,26,15,1429,43,96,0
2120,26,15,1858, 24.7,101,0
2121,26,5,1908, 21.3,104,0
2122,26,5,1503, 37.4,109,0
2123,26,5,1523, 38.9,112,0
2124,26,15,1491, 38.4,115,0
2125,26,5,1430, 39.1,117,0
2126,26,15,1258, 69.4,119,1
2127,26,15,1449, 46.5,121,0
2128,26,15,1425, 40.6,123,0
2129,26,25,1800, 24.3,128,0
2130,26,25,1607, 33.7,130,0
2131,26,25,1391, 58.2,135,0
2132,26,25,1432, 45.4,137,0
2133,26,25,1660, 28.4,139,0
2134,26,15,1732, 29.7,141,0
2135,26,15,1473, 46.3,146,0
2136,26,15,1511, 47.8,148,0
2137,26,5,1588, 41.5,150,0
2138,26,15,1623, 31.1,152,0
2139,26,15,1734, 30.6,154,0
2140,26,15,1415, 47.6,156,0
2141,26,15,1419, 46.6,158,0
2142,26,15,1577, 34.9,160,0
2143,26,15,1376, 60.3,163,0
2144,26,15,1442,49,165,0
2145,26,25,1451, 40.5,168,0
2146,26,15,1550, 45.8,170,0
2147,26,15,1647, 32.9,172,0
2148,26,25,1550, 33.7,174,0
2149,26,25,1583, 34.1,176,0
2150,26,25,1613, 32.2,178,0
2151,26,15,1636, 35.5,180,0
2152,26,15,1289, 51.5,185,0
2153,26,15,1648, 28.4,188,0
2154,26,15,1397, 45.4,191,0
2155,26,15,1767, 24.8,196,0
2156,26,15,1341, 47.7,199,0
2157,26,25,1457, 41.5,201,0
2158,26,25,1939, 19.8,204,0
2159,26,35,1399, 49.7,207,0
2160,26,35,1602, 31.3,210,0
2161,26,25,1507,41,213,0
2162,26,25,1464, 40.5,215,0
2163,26,35,1336, 42.1,217,0
2164,26,45,1422, 39.8,219,0
2165,26,45,1540, 36.7,221,0
2166,26,35,1476, 47.8,223,0
2167,26,45,1867, 23.4,225,1
2168,26,45,1588, 41.3,0,0
2169,26,35,1420, 49.5,5,0
2170,26,35,1415, 49.2,8,0
2171,26,25,1500, 43.3,10,0
2172,26,35,1502, 44.6,13,0
2173,26,35,1816,23,15,0
2174,26,35,1495, 41.6,17,0
2175,26,45,1572, 33.4,20,0
2176,26,35,1590, 35.9,22,0
2177,26,45,1387, 48.3,25,0
2178,26,45,1393, 47.7,28,0
2179,26,45,1602, 37.3,31,0
2180,26,45,1601, 33.3,33,0
2181,26,45,1597, 36.3,35,0
2182,26,35,1548, 44.3,40,0
2183,26,35,1314, 61.8,45,0
2184,26,45,1577, 39.8,48,0
2185,26,65,1475, 43.4,51,0
2186,26,65,1630, 32.4,53,0
2187,26,55,1445, 42.9,55,0
2188,26,65,1439, 47.4,57,0
2189,26,55,1420, 44.1,60,0
2190,26,55,1554, 41.6,62,0
2191,26,45,1471, 44.3,67,0
2192,26,45,1648, 33.6,70,0
2193,26,45,1472, 48.8,72,0
2194,26,35,1448, 42.9,74,0
2195,26,45,1568, 35.3,77,0
2196,26,45,1613, 30.8,80,0
2197,26,55,1551, 35.4,82,0
2198,26,55,1412, 49.2,85,0
2199,26,55,1478,41,87,0
2200,26,65,1268,58,90,0
2201,26,65,1546, 35.6,93,0
2202,26,65,1567, 36.1,95,0
2203,26,75,1548, 35.7,97,0
2204,26,65,1614, 30.8,100,0
2205,26,55,1352, 46.1,102,0
2206,26,75,1624, 34.6,105,0
2207,26,75,1436,52,107,0
2208,26,65,1591, 37.5,109,0
2209,26,65,1435, 42.6,111,0
2210,26,65,1386, 49.4,116,0
2211,26,55,1401, 54.1,118,0
2212,26,45,1245,64,120,0
2213,26,55,1475,40,123,0
2214,26,55,1473, 39.4,125,0
2215,26,55,1355, 44.8,127,0
2216,26,55,1468, 49.6,132,0
2217,26,55,1645, 30.8,137,0
2218,26,55,1347, 55.3,139,0
2219,26,55,1713, 33.5,141,0
2220,26,45,1435, 48.4,143,0
2221,26,45,1736, 26.1,146,0
2222,26,45,1372, 60.4,149,0
2223,26,55,1605,33,151,0
2224,26,45,1413, 48.5,153,0
2225,26,55,1645, 31.9,155,0
2226,26,55,1465,49,158,0
2227,26,45,1685, 27.8,161,0
2228,26,35,1965, 20.4,164,0
2229,26,25,1542, 41.8,166,0
2230,26,25,1681, 30.8,171,0
2231,26,35,1446, 45.7,173,0
2232,26,25,1415, 56.4,175,0
2233,26,35,1672, 30.5,177,0
2234,26,35,2549,13,179,1
2235,26,25,1492, 40.5,181,0
2236,26,25,1455, 42.7,183,0
2237,26,15,1422, 43.1,186,0
2238,26,15,1403, 50.6,189,0
2239,26,15,1474, 49.6,191,0
2240,26,5,1381,50,193,0
2241,26,5,1457, 44.7,195,0
2242,26,5,1711, 28.9,197,0
2243,26,5,1667,29,199,0
2244,26,5,1465,35,201,0
2245,26,15,1542, 37.5,203,1
2246,26,15,1438, 42.3,0,0
2247,26,15,1406, 47.4,3,0
2248,26,5,1396, 48.5,5,0
2249,26,15,1304, 60.6,8,0
2250,26,5,1442, 46.5,11,0
2251,26,5,1396, 48.7,13,0
2252,25,95,1424, 43.4,16,0
2253,25,95,1451, 42.8,21,0
2254,26,5,1386, 54.1,26,0
2255,25,95,1325, 46.9,28,0
2256,25,95,1559, 33.7,30,0
2257,25,95,1489, 38.1,32,0
2258,25,95,1892, 25.2,34,0
2259,25,95,1319, 60.3,36,0
2260,25,95,1431, 52.3,38,0
2261,25,95,1521, 36.5,40,0
2262,25,95,1435, 45.2,45,0
2263,25,95,1533, 42.4,48,0
2264,26,5,1529,43,50,0
2265,26,5,1415, 43.5,53,0
2266,26,5,1330, 51.2,56,0
2267,26,5,1381, 60.6,59,0
2268,26,5,1370, 52.4,61,0
2269,26,5,1438, 46.6,63,0
2270,26,15,1314, 48.2,65,0
2271,26,15,1437, 48.1,67,0
2272,26,5,1821, 26.1,69,0
2273,26,15,1448, 52.1,71,0
2274,26,15,1589, 32.7,74,0
2275,26,15,1520, 33.7,76,0
2276,26,15,1605,37,78,0
2277,26,15,1393, 54.2,80,0
2278,26,15,1408, 44.4,82,0
2279,26,15,1459, 35.6,87,0
2280,26,25,1525,39,90,0
2281,26,25,1390,57,92,0
2282,26,15,1536, 38.9,94,0
2283,26,25,1459, 47.6,96,0
2284,26,5,1387, 51.1,98,0
2285,26,5,1378, 53.4,100,0
2286,26,25,1381, 56.7,102,0
2287,26,25,1289, 60.5,104,0
2288,26,25,1746, 26.8,107,0
2289,26,25,1541, 39.1,109,0
2290,26,25,1504, 37.8,112,0
2291,26,35,1321, 51.9,114,0
2292,26,35,1886, 20.9,117,0
2293,26,45,1422, 53.2,120,0
2294,26,35,1520, 38.3,122,0
2295,26,25,1627, 32.6,124,0
2296,26,25,1512, 37.2,126,0
2297,26,25,1553, 42.7,128,0
2298,26,15,1802,26,130,0
2299,26,15,1482, 37.6,132,0
2300,26,25,1446, 62.9,134,1
2301,26,15,1371, 50.5,136,0
2302,26,5,1586, 35.7,138,0
2303,26,5,1515, 39.8,141,0
2304,26,5,1374, 53.6,143,0
2305,25,95,1455, 39.8,145,0
2306,26,5,1342, 47.5,147,0
2307,25,95,1260, 57.8,152,0
2308,25,85,1623, 33.5,154,0
2309,25,95,1371, 55.5,159,0
2310,25,95,1611, 31.4,161,0
2311,25,85,1535, 47.5,163,0
2312,25,95,1491, 38.5,166,0
2313,25,95,1441, 36.2,169,0
2314,25,95,1725, 26.6,172,0
2315,26,5,1368, 47.2,175,0
2316,26,5,1526, 37.9,177,0
2317,26,5,1542, 39.2,179,0
2318,26,5,1605, 31.1,181,0
2319,26,5,1405, 51.4,183,0
2320,26,5,1700, 33.5,185,0
2321,26,5,1440, 39.1,188,0
2322,26,5,1314, 52.5,193,0
2323,26,5,1514, 41.9,196,0
2324,26,5,1401,47,198,0
2325,26,15,1636, 29.9,201,0
2326,26,15,1603, 33.9,203,0
2327,26,25,1487, 52.6,205,0
2328,26,15,1420, 50.3,208,0
2329,26,15,1579, 36.3,211,0
2330,26,15,1484, 40.5,213,0
2331,26,15,1390, 49.3,215,0
2332,26,15,1384, 53.6,218,1
2333,26,5,1378, 50.4,220,1
2334,26,5,1445, 45.2,222,0
2335,26,5,1445, 43.5,224,0
2336,26,5,1509, 39.4,0,0
2337,26,5,1434, 46.8,2,0
2338,26,5,1877, 23.9,4,0
2339,26,15,1651,28,6,0
2340,26,5,1466, 41.3,8,0
2341,25,95,1479, 40.7,10,0
2342,25,95,1409, 46.4,12,0
2343,26,5,1674, 28.2,14,0
2344,25,95,1305, 61.4,17,0
2345,26,5,1755, 26.4,19,0
2346,26,5,1475, 38.7,22,0
2347,26,5,1402, 47.7,24,0
2348,26,5,1410,43,26,0
2349,26,5,1436, 41.8,28,0
2350,26,15,1386, 42.2,30,0
2351,26,15,1744, 26.4,33,0
2352,26,5,1393, 48.4,35,0
2353,26,15,1422, 45.4,37,0
2354,26,5,1841, 22.8,40,0
2355,26,15,1433, 37.7,42,0
2356,26,15,1305, 60.6,44,0
2357,26,15,1498, 39.5,47,0
2358,26,15,1772, 26.1,52,0
2359,26,5,1381, 42.5,54,0
2360,26,15,1413, 38.5,57,0
2361,26,5,1388, 53.2,59,0
2362,26,5,1631, 35.4,64,0
2363,26,15,1520, 41.4,67,0
2364,26,15,1510, 45.4,72,0
2365,26,5,1366, 49.7,74,0
2366,26,25,1845, 22.9,76,0
2367,26,15,1485, 44.7,78,0
2368,26,15,1496, 39.4,80,0
2369,26,15,1468, 42.2,83,0
2370,26,5,1856, 22.7,86,0
2371,26,5,1620, 34.1,89,0
2372,26,15,1409, 44.8,91,0
2373,26,15,1404, 49.4,93,0
2374,26,5,1350, 51.3,96,0
2375,26,5,1538,38,98,0
2376,26,5,1476, 32.7,101,0
2377,26,5,1364, 51.8,104,0
2378,26,5,1582, 45.5,107,0
2379,25,95,1348, 56.1,110,0
2380,25,95,1450, 46.1,112,0
2381,25,85,1242, 60.9,117,0
2382,25,95,1493, 34.9,119,0
2383,25,95,1601, 31.4,121,0
2384,25,95,1568, 33.3,123,0
2385,25,95,1506,38,125,0
2386,25,95,1524, 34.1,128,0
2387,25,95,1543, 37.9,130,0
2388,26,5,1474, 47.2,132,0
2389,26,5,1526, 37.3,135,0
2390,26,5,1867,27,138,0
2391,26,5,1487, 41.2,140,0
2392,26,5,1580, 32.6,142,0
2393,26,5,1340,50,144,0
2394,26,5,1544, 41.6,146,0
2395,26,5,1488, 40.3,148,0
2396,26,5,1742, 28.9,150,0
2397,25,95,1592, 34.2,153,0
2398,26,5,1582, 38.8,156,0
2399,26,5,1490, 43.2,158,0
2400,26,5,1594, 35.8,160,0
2401,26,5,1462,55,163,0
2402,26,5,1367, 47.6,168,0
2403,26,5,1325,51,171,0
2404,26,5,1448, 51.4,173,0
2405,25,95,2008, 20.3,178,0
2406,25,95,1498, 38.9,181,0
2407,25,95,1437, 41.6,183,0
2408,25,95,1499, 45.1,185,0
2409,25,85,1356, 52.6,188,0
2410,25,95,1539, 46.8,190,0
2411,25,95,1689, 32.1,192,0
2412,25,85,1559, 38.1,194,0
2413,25,95,1408, 46.7,196,0
2414,25,85,1886,23,198,0
2415,25,95,1415, 43.4,0,0
2416,25,95,1587, 35.6,2,0
2417,25,85,1571, 38.6,5,0
2418,25,75,1576, 36.6,7,0
2419,25,75,1660, 34.4,9,0
2420,25,75,1328, 49.2,11,0
2421,25,65,1450, 44.7,14,0
2422,25,75,2384,15,19,0
2423,25,65,1443, 53.4,21,0
2424,25,75,2022,20,23,0
2425,25,75,1828, 23.8,26,0
2426,25,65,1472, 53.5,28,0
2427,25,75,1372, 63.6,30,1
2428,25,75,1855, 23.8,33,0
2429,25,85,1377, 47.2,35,0
2430,25,75,1432, 48.9,38,0
2431,25,75,1335, 47.8,40,0
2432,25,75,1411, 51.3,43,0
2433,25,75,1510, 43.5,46,0
2434,25,85,1441,44,48,0
2435,25,85,1358, 42.7,50,0
2436,25,75,1686, 30.4,53,0
2437,25,85,1662, 30.4,55,0
2438,25,95,1426, 40.1,60,0
2439,25,95,1330, 53.6,62,0
2440,25,95,1693, 31.6,65,0
2441,25,95,1426, 47.9,67,0
2442,25,95,1676,31,69,0
2443,25,95,1332, 51.7,71,0
2444,25,95,1647,35,74,0
2445,26,5,1267, 68.2,76,1
2446,26,5,1375, 55.1,78,0
2447,26,15,1422, 48.9,83,0
2448,26,15,1408, 48.7,85,0
2449,26,25,1440, 42.5,87,0
2450,26,15,1772, 25.2,89,0
2451,26,5,1492, 37.8,91,0
2452,26,5,1650, 30.5,93,0
2453,25,95,2329, 14.6,95,0
2454,25,85,1648, 30.8,98,0
2455,25,85,1653, 31.7,100,0
2456,25,85,1946, 22.3,102,0
2457,25,95,1555, 36.6,104,0
2458,25,85,1661, 32.2,106,0
2459,25,85,1434, 45.9,108,0
2460,25,85,1297, 54.2,110,0
2461,25,85,1466, 46.4,112,0
2462,25,75,1517, 39.8,114,0
2463,25,75,1742, 34.5,117,0
2464,25,75,1580, 39.1,119,0
2465,25,75,1534, 42.9,121,0
2466,25,75,1481, 40.7,124,0
2467,25,85,1429, 37.7,126,0
2468,25,75,1574, 33.5,128,0
2469,25,75,1524, 40.4,131,0
2470,25,85,1507, 37.5,134,0
2471,25,75,1467, 44.7,136,0
2472,25,75,1301, 51.1,138,0
2473,25,75,1429, 55.1,140,0
2474,25,75,1555, 37.6,142,0
2475,25,75,1503, 40.6,145,0
2476,25,75,1459, 43.1,147,0
2477,25,75,1449, 42.4,149,0
2478,25,75,1387, 57.3,154,0
2479,25,75,1456,50,156,0
2480,25,85,1604, 34.7,159,0
2481,25,85,1734, 32.4,161,0
2482,25,85,1378, 47.8,163,0
2483,25,75,1504, 41.8,165,0
2484,25,75,1402, 49.8,167,0
2485,25,65,1524, 37.7,170,0
2486,25,65,1593, 35.5,175,0
2487,25,75,1772, 28.4,177,0
2488,25,75,1623,31,180,0
2489,25,75,1356, 50.7,185,0
2490,25,75,1500, 41.6,187,0
2491,25,95,1566, 46.6,192,0
2492,25,95,1445, 43.4,197,0
2493,25,85,1382, 58.5,199,0
2494,25,85,1418, 45.7,204,0
2495,25,95,1329, 53.6,207,1
2496,25,95,1491,41,209,0
2497,26,5,1573, 37.4,212,0
2498,26,5,1521, 42.3,215,0
2499,25,95,1467, 47.2,218,0
2500,25,95,1325, 48.4,220,0
2501,25,95,1617, 32.3,223,0
2502,25,95,1476, 42.7,225,0
2503,26,5,1515, 48.9,228,1
2504,26,5,1408, 47.2,0,0
2505,26,5,1468, 45.6,2,0
2506,26,5,1387, 48.7,4,0
2507,26,5,1503, 34.7,6,0
2508,26,5,1410, 47.1,9,0
2509,25,85,1615, 30.6,14,0
2510,25,85,1511, 35.9,16,0
2511,25,95,1405, 53.8,18,0
2512,25,85,1526, 41.1,20,0
2513,25,75,1530, 38.3,23,0
2514,25,85,1583, 32.5,25,0
2515,25,75,2069, 18.7,27,0
2516,25,65,1490,35,29,0
2517,25,65,1736,29,31,0
2518,25,65,1395, 44.4,33,0
2519,25,75,1425, 49.6,35,0
2520,25,65,1631, 32.4,38,0
2521,25,65,1535, 41.2,40,0
2522,25,65,1584, 34.4,42,0
2523,25,65,1543, 38.2,44,0
2524,25,65,1635, 35.2,47,0
2525,25,65,1446, 45.5,49,0
2526,25,65,1598, 35.1,52,0
2527,25,65,1501,35,55,0
2528,25,65,1450, 50.8,57,0
2529,25,65,1730, 25.9,59,0
2530,25,65,1571, 33.7,61,0
2531,25,75,1438, 51.7,64,0
2532,25,65,1510, 38.7,66,0
2533,25,75,1389, 44.9,69,0
2534,25,65,1490, 33.6,71,0
2535,25,75,1729, 26.6,73,0
2536,25,85,1495, 38.4,75,0
2537,25,75,1281, 53.9,77,0
2538,25,75,1353, 48.1,79,0
2539,25,95,1429, 50.1,84,0
2540,25,95,1413, 42.1,86,0
2541,25,95,1502, 38.3,88,0
2542,25,95,1553, 32.6,90,0
2543,26,5,1712, 26.4,95,0
2544,26,15,1786, 23.5,100,0
2545,26,5,1951, 21.4,102,0
2546,26,5,1541, 36.3,104,0
2547,26,5,1605, 34.3,107,0
2548,26,5,1578, 38.1,109,0
2549,26,15,1440, 37.5,111,0
2550,26,25,1489, 42.3,114,0
2551,26,25,1366, 48.4,116,0
2552,26,15,1541, 37.2,118,0
2553,26,15,1552, 40.7,120,0
2554,26,15,1473, 40.3,125,0
2555,26,15,1531, 37.9,127,0
2556,26,15,1511, 37.2,129,0
2557,26,15,1449, 47.9,131,0
2558,26,25,1440,50,134,0
2559,26,5,1881, 23.9,137,0
2560,26,15,1447, 50.4,140,0
2561,26,25,1326,62,142,0
2562,26,25,1607, 31.7,145,0
2563,26,15,1551, 39.1,147,0
2564,26,15,1496, 37.2,149,0
2565,26,15,1493,38,151,0
2566,26,25,1304, 50.5,153,0
2567,26,15,1420, 41.6,155,0
2568,26,25,1766, 24.6,158,0
2569,26,45,1450, 43.1,160,0
2570,26,35,1872, 22.6,162,0
2571,26,45,1713, 26.5,167,0
2572,26,35,1497, 40.9,169,0
2573,26,25,1352, 44.7,172,0
2574,26,35,1499, 41.5,175,0
2575,26,35,1972, 19.3,177,0
2576,26,35,1422, 49.2,179,0
2577,26,35,1523, 41.5,181,0
2578,26,35,1563, 41.5,183,0
2579,26,25,1391, 46.6,185,0
2580,26,15,1795, 24.7,187,0
2581,26,15,1293, 53.7,189,0
2582,26,5,1345, 60.7,191,1
2583,26,5,1615, 33.7,193,0
2584,26,5,1342, 50.8,195,0
2585,25,95,1502, 46.7,197,0
2586,25,85,1620, 35.4,199,0
2587,25,85,1537, 42.8,202,0
2588,25,85,2248, 16.8,204,0
2589,25,85,1706, 28.6,206,0
2590,25,85,2250, 16.6,208,0
2591,25,85,1396, 48.6,0,0
2592,25,75,1522, 46.4,2,0
2593,25,75,1539, 45.4,4,0
2594,25,75,1415,54,6,0
2595,25,65,1446,37,11,0
2596,25,65,1486, 41.1,13,0
2597,25,85,1426, 38.6,16,0
2598,25,85,1449, 38.9,18,0
2599,25,95,1320, 67.5,20,1
2600,26,5,1447, 39.6,22,0
2601,26,15,1422, 47.3,25,0
2602,26,15,1399, 52.1,27,0
2603,26,25,1427, 41.5,29,0
2604,26,15,1334, 46.3,31,0
2605,26,15,1385, 45.6,34,0
2606,26,25,1552, 37.4,37,0
2607,26,25,1534, 37.5,39,0
2608,26,25,1448, 48.6,44,0
2609,26,35,1409, 44.7,46,0
2610,26,25,1621, 34.5,48,0
2611,26,25,1547, 40.9,50,0
2612,26,25,1957, 22.1,55,0
2613,26,25,2421, 14.2,57,0
2614,26,15,1571, 38.3,59,0
2615,26,15,1634, 36.8,62,0
2616,26,15,1516, 38.7,64,0
2617,26,25,1207, 66.5,66,0
2618,26,25,1670, 35.9,68,0
2619,26,25,1461, 48.6,70,0
2620,26,25,1569, 40.8,73,0
2621,26,25,1556, 35.7,75,0
2622,26,35,1506, 41.5,77,0
2623,26,45,1642, 30.3,80,0
2624,26,45,1283, 62.1,83,0
2625,26,55,1375, 46.8,86,0
2626,26,55,1399, 39.9,91,0
2627,26,55,1650, 29.8,93,0
2628,26,65,1346, 53.2,95,0
2629,26,75,1410, 51.2,98,0
2630,26,85,1586, 37.8,103,0
2631,26,85,1372, 39.6,105,0
2632,26,85,1529, 42.4,107,0
2633,26,85,1652, 28.6,112,0
2634,26,95,1532, 39.8,115,0
2635,26,85,1554,32,117,0
2636,26,75,1462,51,119,0
2637,26,75,1254, 61.3,124,0
2638,26,75,1294, 49.7,126,0
2639,26,65,1739, 27.5,128,0
2640,26,65,1412, 47.8,130,0
2641,26,75,1372, 56.2,133,0
2642,26,65,1420, 46.7,136,0
2643,26,65,1542, 40.3,141,0
2644,26,65,1401, 48.1,143,0
2645,26,65,1510, 42.5,146,0
2646,26,75,1547, 38.5,148,0
2647,26,65,1453, 43.2,153,0
2648,26,65,1408, 45.6,156,0
2649,26,65,1436, 51.6,158,0
2650,26,75,1582, 38.2,160,0
2651,26,75,1280, 59.3,163,0
2652,26,75,2008, 20.4,165,0
2653,26,75,1772, 23.5,167,0
2654,26,75,1779, 26.1,169,0
2655,26,75,1567, 35.5,171,0
2656,26,65,1751,27,173,0
2657,26,75,1349, 51.3,176,0
2658,26,85,1425, 40.8,178,0
2659,26,85,1395, 44.5,181,0
2660,26,65,1595, 32.1,183,0
2661,26,65,1291, 56.4,188,0
2662,26,75,1509, 42.8,190,0
2663,26,75,1483, 38.1,193,0
2664,26,75,1620, 31.1,196,0
2665,26,75,1487, 42.2,198,0
2666,26,65,2256, 15.9,201,0
2667,26,55,1691, 27.7,203,0
2668,26,65,1663, 35.2,208,0
2669,26,65,1640, 31.1,211,0
2670,26,55,1494, 37.8,214,0
2671,26,65,1467, 46.2,219,0
2672,26,55,1399, 41.9,221,1
2673,26,55,1445, 42.6,0,0
2674,26,65,1480, 40.9,2,0
2675,26,55,1546, 37.2,4,0
2676,26,55,1574, 35.8,6,0
2677,26,55,1592, 34.2,8,0
2678,26,65,1495, 39.6,10,0
2679,26,65,1447, 43.1,12,0
2680,26,65,1476, 44.4,14,0
2681,26,65,1641, 27.1,16,0
2682,26,65,1545, 32.2,18,0
2683,26,75,1364, 44.4,20,0
2684,26,65,1590, 28.5,23,0
2685,26,65,1460, 37.4,25,0
2686,26,65,1609, 32.5,27,0
2687,26,65,1633, 27.5,29,0
2688,26,75,1348, 52.8,31,0
2689,26,75,1322, 53.9,33,0
2690,26,85,1641, 30.1,35,0
2691,26,85,1728,26,37,0
2692,26,85,1431, 47.7,39,0
2693,26,95,1641, 30.4,41,0
2694,26,95,1622, 36.1,43,0
2695,26,95,1625,38,46,0
2696,26,85,1869, 22.7,49,0
2697,26,85,1452,46,51,0
2698,26,85,1618, 28.7,53,0
2699,26,85,2010,20,55,0
2700,26,75,1363, 60.9,57,0
2701,26,75,1473, 40.4,59,0
2702,26,75,1333, 50.8,61,0
2703,26,65,1760, 25.9,63,0
2704,26,65,1372, 58.2,65,0
2705,26,55,1608, 34.4,68,0
2706,26,55,1326, 64.8,71,0
2707,26,45,1560, 37.1,73,0
2708,26,45,1539, 36.1,76,0
2709,26,45,2266, 15.3,79,0
2710,26,45,1641, 35.8,81,0
2711,26,45,1574, 39.2,83,0
2712,26,45,1407, 50.6,85,0
2713,26,55,1302, 55.5,87,0
2714,26,45,1651, 30.8,92,0
2715,26,45,1366, 55.2,95,0
